act_id,act_name,year,section,title,description,keywords,domain,source_url,active_status
1,Indian Contract Act,1872,10,What agreements are contracts,"All agreements are contracts if they are made by the free consent of parties competent to contract, for a lawful consideration and with a lawful object, and are not hereby expressly declared to be void.","agreement, contract, consent, competency, consideration, lawful",Contract Law,https://www.indiacode.nic.in/handle/123456789/2187/section_10,Active
2,Indian Contract Act,1872,73,Compensation for loss or damage caused by breach of contract,"When a contract has been broken, the party who suffers by such breach is entitled to receive, from the party who has broken the contract, compensation for any loss or damage caused to him thereby, which naturally arose in the usual course of things from such breach, or which the parties knew, when they made the contract, to be likely to result from the breach of it.","compensation, breach, damages, loss, contract, agreement",Contract Law,https://www.indiacode.nic.in/handle/123456789/2187/section_73,Active
3,Indian Contract Act,1872,74,Compensation for breach of contract where penalty stipulated for,"When a contract has been broken, if a sum is named in the contract as the amount to be paid in case of such breach, or if the contract contains any other stipulation by way of penalty, the party complaining of the breach is entitled, whether or not actual damage or loss is proved to have been incurred, to receive from the party who has broken the contract reasonable compensation not exceeding the amount so named or, as the case may be, the penalty stipulated for.","liquidated damages, penalty, breach, contract, compensation",Contract Law,https://www.indiacode.nic.in/handle/123456789/2187/section_74,Active
4,Information Technology Act,2000,43,"Penalty and compensation for damage to computer, computer system, etc.","If any person without permission of the owner or any other person who is incharge of a computer, computer system or computer network accesses, downloads, copies, introduces virus, damages, disrupts, denies access, or facilitates access, he shall be liable to pay damages by way of compensation to the person so affected.","access, hacking, damage, computer, virus, compensation, penalty",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_43,Active
5,Information Technology Act,2000,66,Computer related offences,"If any person, dishonestly or fraudulently, does any act referred to in section 43, he shall be punishable with imprisonment for a term which may extend to three years or with fine which may extend to five lakh rupees or with both.","computer offence, criminal hacker, fraud, theft",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_66,Active
6,Information Technology Act,2000,66C,Punishment for identity theft,"Whoever, fraudulently or dishonestly, make use of the electronic signature, password or any other unique identification feature of any other person, shall be punished with imprisonment of either description for a term which may extend to three years and shall also be liable to fine which may extend to rupees one lakh.","identity theft, password, cloning, spoofing, fraud, electronic signature",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_66C,Active
7,Information Technology Act,2000,66D,Punishment for cheating by personation by using computer resource,"Whoever, by means of any communication device or computer resource cheats by personating, shall be punished with imprisonment of either description for a term which may extend to three years and shall also be liable to fine which may extend to one lakh rupees.","cheating, personation, online scam, phishing, fraud, cybercrime",Cyber Law,https://www.indiacode.nic.in/handle/123456789/1999/section_66D,Active
8,Negotiable Instruments Act,1881,138,"Dishonour of cheque for insufficiency, etc., of funds in the account","Where any cheque drawn by a person on an account maintained by him with a banker for payment of any amount of money to another person from out of that account for the discharge, in whole or in part, of any debt or other liability, is returned by the bank unpaid, either because of the amount of money standing to the credit of that account is insufficient to honour the cheque or that it exceeds the amount arranged to be paid from that account, such person shall be deemed to have committed an offence and shall be punished with imprisonment for a term which may extend to two years, or with fine which may extend to twice the amount of the cheque, or with both.","cheque bounce, dishonour, insufficient funds, signature mismatch, cheque, payment dispute",Cheque/payment disputes,https://www.indiacode.nic.in/handle/123456789/2189/section_138,Active
9,Negotiable Instruments Act,1881,139,Presumption in favour of holder,"It shall be presumed, unless the contrary is proved, that the holder of a cheque received the cheque of the nature referred to in section 138 for the discharge, in whole or in part, of any debt or other liability.","presumption, holder, burden of proof, cheque, debt",Cheque/payment disputes,https://www.indiacode.nic.in/handle/123456789/2189/section_139,Active
10,Consumer Protection Act,2019,2(11),Deficiency in Service,"Deficiency means any fault, imperfection, shortcoming or inadequacy in the quality, nature and manner of performance which is required to be maintained by or under any law for the time being in force or has been undertaken to be performed by a person in pursuance of a contract or otherwise in relation to any service.","deficiency, service, negligence, delay, consumer dispute",Consumer Law,https://www.indiacode.nic.in/handle/123456789/11100/section_2(11),Active
